Index,DT,A1
534,16/09/21,55.43
535,17/09/21,40.32
536,18/09/21,42.19
537,19/09/21,50.69
538,20/09/21,49.01
539,21/09/21,50.87
540,22/09/21,52.26
541,23/09/21,57.68
542,24/09/21,41.56
543,25/09/21,29.68
544,26/09/21,45.69
545,27/09/21,5.87
546,28/09/21,7.63
547,29/09/21,37
548,30/09/21,5.93
549,01/10/21,35.3
550,02/10/21,53.82
551,03/10/21,43.38
552,04/10/21,8.99
553,05/10/21,47.62
554,06/10/21,51.76
555,07/10/21,44.68
556,08/10/21,36.44
557,09/10/21,52.06
558,10/10/21,41.62
559,11/10/21,58.19
560,12/10/21,40.44
561,13/10/21,47.88
562,14/10/21,51.12
563,15/10/21,42.13
564,16/10/21,42.49
565,17/10/21,43.13
566,18/10/21,44.32
567,19/10/21,33.62
568,20/10/21,42.51
569,21/10/21,35.44
570,22/10/21,58.25
571,23/10/21,53.56
572,24/10/21,53.13
573,25/10/21,49.12
574,26/10/21,54.44
575,27/10/21,49.69
576,28/10/21,48.36
577,29/10/21,41.13
578,30/10/21,37.89
579,31/10/21,38.82
580,01/11/21,50.81
581,02/11/21,56.18
582,03/11/21,13.88
583,04/11/21,57
584,05/11/21,32.99
585,06/11/21,5.62
586,07/11/21,19.06
587,08/11/21,27.93
588,09/11/21,51.55
589,10/11/21,39.93
590,11/11/21,50.93
591,12/11/21,54.13
592,13/11/21,37.88
593,14/11/21,54.24
594,15/11/21,50.06
595,16/11/21,49.06
596,17/11/21,44.37
597,18/11/21,37.24
598,19/11/21,52.25
599,20/11/21,32.38
600,21/11/21,58.88
601,22/11/21,56.75
602,23/11/21,64.44
603,24/11/21,13.12
604,25/11/21,13.7
605,26/11/21,25.18
606,27/11/21,46.12
607,28/11/21,19.44
608,29/11/21,46.38
609,30/11/21,9
610,01/12/21,53.68
611,02/12/21,45.62
612,03/12/21,50.06
613,04/12/21,54.63
614,05/12/21,54.31
615,06/12/21,51.19
616,07/12/21,45.63
617,08/12/21,60.5
618,09/12/21,57.87
619,10/12/21,56.93
620,11/12/21,57.05
621,12/12/21,58.5
622,13/12/21,56.62
623,14/12/21,22.69
624,15/12/21,23.62
625,16/12/21,32.12
626,17/12/21,32.81
627,18/12/21,38.86
628,19/12/21,36.44
629,20/12/21,37.63
630,21/12/21,38.19
631,22/12/21,36.87
632,23/12/21,42.38
633,24/12/21,33.49
634,25/12/21,53.56
635,26/12/21,48.87
636,27/12/21,46.19
637,28/12/21,57.19
638,29/12/21,53.13
639,30/12/21,52.44
640,31/12/21,44.89
641,01/01/22,20
642,02/01/22,39.56
643,03/01/22,48.8
644,04/01/22,41.75
645,05/01/22,39.37
646,06/01/22,31.44
647,07/01/22,40.55
648,08/01/22,34.44
649,09/01/22,34.87
650,10/01/22,34.57
651,11/01/22,60
652,12/01/22,40
653,13/01/22,48.18
654,14/01/22,55.45
655,15/01/22,59.25
656,16/01/22,55.01
657,17/01/22,34.56
658,18/01/22,49.5
659,19/01/22,48.38
660,20/01/22,46.37
661,21/01/22,62.06
662,22/01/22,56.12
663,23/01/22,53.68
664,24/01/22,56.13
665,25/01/22,36.38
666,26/01/22,45.63
667,27/01/22,42.68
668,28/01/22,26.31
669,29/01/22,38.81
670,30/01/22,41.82
671,31/01/22,46
672,01/02/22,7.63
673,02/02/22,6.69
674,03/02/22,5.68
675,04/02/22,4.88
676,05/02/22,8.43
677,06/02/22,36.31
678,07/02/22,30.44
679,08/02/22,29.5
680,09/02/22,48.87
681,10/02/22,46.25
682,11/02/22,43.37
683,12/02/22,32.88
684,13/02/22,42.37
685,14/02/22,35.12
686,15/02/22,58.87
687,16/02/22,55.24
688,17/02/22,56.62
689,18/02/22,57.76
690,19/02/22,55.37
691,20/02/22,52.63
692,21/02/22,35.49
693,22/02/22,24.25
694,23/02/22,50.37
695,24/02/22,57.25
696,25/02/22,53.75
697,26/02/22,45.87
698,27/02/22,58
699,28/02/22,52.37
700,01/03/22,33.87
701,02/03/22,35.99
702,03/03/22,53.37
703,04/03/22,46.62
704,05/03/22,40.5
705,06/03/22,55.76
706,07/03/22,44.5
707,08/03/22,30.62
708,09/03/22,42.12
709,10/03/22,48
710,11/03/22,54.5
711,12/03/22,30.25
712,13/03/22,52.51
713,14/03/22,55.87
714,15/03/22,54.89
715,16/03/22,47.63
716,17/03/22,41.87
717,18/03/22,53.12
718,19/03/22,42.37
719,20/03/22,49.76
720,21/03/22,50.12
721,22/03/22,49.75
722,23/03/22,16.12
723,24/03/22,47.38
724,25/03/22,54.01
725,26/03/22,48.25
726,27/03/22,50.5
727,28/03/22,47
728,29/03/22,40.25
729,30/03/22,35.99
730,31/03/22,36.24
731,01/04/22,6.13
732,02/04/22,4.87
733,03/04/22,2.76
734,04/04/22,2.12
735,05/04/22,3.12
736,06/04/22,2.75
737,07/04/22,3.38
738,08/04/22,4
739,09/04/22,4.5
740,10/04/22,3.89
741,11/04/22,4.12
742,12/04/22,4.36
743,13/04/22,6.62
744,14/04/22,7.38
745,15/04/22,18.12
746,16/04/22,48.25
747,17/04/22,29.25
748,18/04/22,54.75
749,19/04/22,50.12
750,20/04/22,36.25
751,21/04/22,31.37
752,22/04/22,4.26
753,23/04/22,4.63
754,24/04/22,4.12
755,25/04/22,3.99
756,26/04/22,4.25
757,27/04/22,3.88
758,28/04/22,3.5
759,29/04/22,6.5
760,30/04/22,5.38
761,01/05/22,6.62
762,02/05/22,26.75
763,03/05/22,5.13
764,04/05/22,5.13
765,05/05/22,46.88
766,06/05/22,42.63
767,07/05/22,38.86
768,08/05/22,42
769,09/05/22,40.49
770,10/05/22,31.75
771,11/05/22,35.62
772,12/05/22,29
773,13/05/22,28.75
774,14/05/22,36.12
775,15/05/22,55.25
776,16/05/22,53.74
777,17/05/22,58.49
778,18/05/22,51.75
779,19/05/22,27.14
780,20/05/22,29
781,21/05/22,38.63
782,22/05/22,39.49
783,23/05/22,50.13
784,24/05/22,4
785,25/05/22,6.13
786,26/05/22,6.12
787,27/05/22,5.99
788,28/05/22,37.99
789,29/05/22,53.01
790,30/05/22,50.38
791,31/05/22,45.74
792,01/06/22,42.75
793,02/06/22,5.51
794,03/06/22,5
795,04/06/22,3.25
796,05/06/22,3.75
797,06/06/22,4.13
798,07/06/22,4
799,08/06/22,4.38
800,09/06/22,5.87
801,10/06/22,6.14
802,11/06/22,5.38
803,12/06/22,6.63
804,13/06/22,7.88
805,14/06/22,12.62
806,15/06/22,27.99
807,16/06/22,49.5
808,17/06/22,60.99
809,18/06/22,52.87
810,19/06/22,52.62
811,20/06/22,37.38
812,21/06/22,53.37
813,22/06/22,49.37
814,23/06/22,32
815,24/06/22,42.49
816,25/06/22,46.13
817,26/06/22,54.26
818,27/06/22,39.49
819,28/06/22,43.5
820,29/06/22,32.99
821,30/06/22,59.25
822,01/07/22,63.75
823,02/07/22,41.38
824,03/07/22,52
825,04/07/22,53.12
826,05/07/22,47.62
827,06/07/22,35.63
828,07/07/22,17.74
829,08/07/22,6.38
830,09/07/22,7.37
831,10/07/22,6.25
832,11/07/22,5
833,12/07/22,4.13
834,13/07/22,4.25
835,14/07/22,5
836,15/07/22,6.87
837,16/07/22,7.88
838,17/07/22,6.24
839,18/07/22,7
840,19/07/22,37.75
841,20/07/22,41.37
842,21/07/22,44.13
843,22/07/22,40.12
844,23/07/22,45.75
845,24/07/22,31.75
846,25/07/22,51.63
847,26/07/22,19.87
848,27/07/22,6.24
849,28/07/22,6
850,29/07/22,5.74
851,30/07/22,5.63
852,31/07/22,3.88
853,01/08/22,3.49
854,02/08/22,6.75
855,03/08/22,5.75
856,04/08/22,5.88
857,05/08/22,6.38
858,06/08/22,4.74
859,07/08/22,6.74
860,08/08/22,6.75
861,09/08/22,5.87
862,10/08/22,6.88
863,11/08/22,7.12
864,12/08/22,7.12
865,13/08/22,11.62
866,14/08/22,9.12
867,15/08/22,9.13
868,16/08/22,37.12
869,17/08/22,51.38
870,18/08/22,47.5
871,19/08/22,44
872,20/08/22,49.25
873,21/08/22,51.75
874,22/08/22,38.38
875,23/08/22,30
876,24/08/22,47.25
877,25/08/22,45.51
878,26/08/22,34.88
879,27/08/22,53.63
880,28/08/22,50.12
881,29/08/22,13.5
882,30/08/22,50.49
883,31/08/22,32.63
884,01/09/22,11.75
885,02/09/22,6.63
886,03/09/22,6.13
887,04/09/22,5.38
888,05/09/22,5.64
889,06/09/22,4.25
890,07/09/22,5.5
891,08/09/22,7
892,09/09/22,26.37
893,10/09/22,33.51
894,11/09/22,33.49
895,12/09/22,28.37
896,13/09/22,31.74
897,14/09/22,30.88
898,15/09/22,20.87
899,16/09/22,35.37
900,17/09/22,39.37
901,18/09/22,48.11
902,19/09/22,31.74
903,20/09/22,49.88
904,21/09/22,52.87
905,22/09/22,37.75
906,23/09/22,49.63
907,24/09/22,40.87
908,25/09/22,38.13
909,26/09/22,36.12
910,27/09/22,7.24
911,28/09/22,7.62
912,29/09/22,8.12
913,30/09/22,7
914,01/10/22,6.37
915,02/10/22,5.62
916,03/10/22,6.12
917,04/10/22,7.5
918,05/10/22,37.26
919,06/10/22,45.5
920,07/10/22,47.87
921,08/10/22,35.25
922,09/10/22,47.25
923,10/10/22,53.5
924,11/10/22,45.5
925,12/10/22,39.63
926,13/10/22,46.88
927,14/10/22,61.37
928,15/10/22,58
929,16/10/22,53.25
930,17/10/22,53.37
931,18/10/22,54.37
932,19/10/22,44.13
933,20/10/22,54.14
934,21/10/22,47.63
935,22/10/22,50.51
936,23/10/22,53.87
937,24/10/22,48.38
938,25/10/22,44.37
939,26/10/22,47.75
940,27/10/22,32.13
941,28/10/22,44.75
942,29/10/22,41.5
943,30/10/22,54.74
944,31/10/22,58.13
945,01/11/22,52.38
946,02/11/22,57.38
947,03/11/22,37.49
948,04/11/22,61.13
949,05/11/22,52.37
950,06/11/22,60
951,07/11/22,57.25
952,08/11/22,40.63
953,09/11/22,49.62
954,10/11/22,32.25
955,11/11/22,45.75
956,12/11/22,48.87
957,13/11/22,40.13
958,14/11/22,37.26
959,15/11/22,47
960,16/11/22,48.88
961,17/11/22,44.01
962,18/11/22,68.51
